distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,1.0,1.0,-1.0077252033553779,P2591,-1.1835231932628774,1000,1000,718,0.718
haze,1.0,1.0,-1.0077252033553779,P2613,-6.50277438202946,1000,1000,867,0.867
haze,1.0,1.0,-1.0077252033553779,P2724,0.769638618008045,1000,1000,836,0.836
haze,1.0,1.0,-1.0077252033553779,P2754,2.939982000486405,1000,1000,800,0.8
haze,1.5,1.5,-2.808582539633451,P0063,1.415784992668465,1000,1000,817,0.817
haze,1.5,1.5,-2.808582539633451,P0081,-4.9778029780170545,1000,1000,552,0.552
haze,1.5,1.5,-2.808582539633451,P0198,-2.763981268282495,1000,1000,791,0.791
haze,1.5,1.5,-2.808582539633451,P0308,-4.717047446176662,1000,1000,686,0.686
haze,1.5,1.5,-2.808582539633451,P0336,-7.482471131742726,1000,1000,870,0.87
haze,1.5,1.5,-2.808582539633451,P0345,-5.298966136567861,1000,1000,667,0.667
haze,1.5,1.5,-2.808582539633451,P0363,-5.139449723927488,1000,1000,626,0.626
haze,1.5,1.5,-2.808582539633451,P0368,-4.637251222188975,1000,1000,647,0.647
haze,1.5,1.5,-2.808582539633451,P0377,-6.258387510396313,1000,1000,454,0.454
haze,1.5,1.5,-2.808582539633451,P0452,-3.107394345151543,1000,1000,791,0.791
haze,1.5,1.5,-2.808582539633451,P0517,-4.431956449125676,1000,1000,779,0.779
haze,1.5,1.5,-2.808582539633451,P0565,-7.821444265879798,1000,1000,869,0.869
haze,1.5,1.5,-2.808582539633451,P0649,-7.0262679807065345,1000,1000,464,0.464
haze,1.5,1.5,-2.808582539633451,P0699,-5.090403154460766,1000,1000,649,0.649
haze,1.5,1.5,-2.808582539633451,P0806,-0.5201340422861457,1000,1000,612,0.612
haze,1.5,1.5,-2.808582539633451,P1003,-9.016610855506356,1000,1000,833,0.833
haze,1.5,1.5,-2.808582539633451,P1029,-4.483923359533043,1000,1000,767,0.767
haze,1.5,1.5,-2.808582539633451,P1148,-0.5321723860237566,417,443,224,0.5371702637889688
haze,1.5,1.5,-2.808582539633451,P1158,-4.060893529948549,939,751,461,0.6138482023968043
haze,1.5,1.5,-2.808582539633451,P1207,9.242750120530486,93,577,57,0.6129032258064516
haze,1.5,1.5,-2.808582539633451,P1216,8.788338333859452,155,691,119,0.7677419354838709
haze,1.5,1.5,-2.808582539633451,P1242,1.9642796513223548,1000,1000,689,0.689
haze,1.5,1.5,-2.808582539633451,P1358,0.4321711435852298,1000,1000,751,0.751
haze,1.5,1.5,-2.808582539633451,P1522,-5.269196494591687,1000,1000,785,0.785
haze,1.5,1.5,-2.808582539633451,P1676,0.2438110141413614,536,712,437,0.8152985074626866
haze,1.5,1.5,-2.808582539633451,P1693,-3.709550039019778,825,659,446,0.6767830045523521
haze,1.5,1.5,-2.808582539633451,P1960,-4.856862293818967,1000,1000,847,0.847
haze,1.5,1.5,-2.808582539633451,P2002,-1.080482782374186,1000,1000,746,0.746
haze,1.5,1.5,-2.808582539633451,P2045,-8.051201993604842,1000,1000,734,0.734
haze,1.5,1.5,-2.808582539633451,P2210,1.957582725170045,1000,1000,552,0.552
haze,1.5,1.5,-2.808582539633451,P2257,-6.229889189073971,1000,1000,803,0.803
